@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute inputs-16 numeric
@attribute inputs-17 numeric
@attribute inputs-18 numeric
@attribute inputs-19 numeric
@attribute inputs-20 numeric
@attribute inputs-21 numeric
@attribute inputs-22 numeric
@attribute inputs-23 numeric
@attribute inputs-24 numeric
@attribute inputs-25 numeric
@attribute inputs-26 numeric
@attribute inputs-27 numeric
@attribute inputs-28 numeric
@attribute inputs-29 numeric
@attribute inputs-30 numeric
@attribute inputs-31 numeric
@attribute inputs-32 numeric
@attribute inputs-33 numeric
@attribute inputs-34 numeric
@attribute inputs-35 numeric
@attribute inputs-36 numeric
@attribute inputs-37 numeric
@attribute inputs-38 numeric
@attribute inputs-39 numeric
@attribute inputs-40 numeric
@attribute inputs-41 numeric
@attribute inputs-42 numeric
@attribute inputs-43 numeric
@attribute inputs-44 numeric
@attribute inputs-45 numeric
@attribute inputs-46 numeric
@attribute inputs-47 numeric
@attribute inputs-48 numeric
@attribute inputs-49 numeric
@attribute inputs-50 numeric
@attribute inputs-51 numeric
@attribute inputs-52 numeric
@attribute inputs-53 numeric
@attribute inputs-54 numeric
@attribute inputs-55 numeric
@attribute inputs-56 numeric
@attribute inputs-57 numeric
@attribute inputs-58 numeric
@attribute inputs-59 numeric
@attribute inputs-60 numeric
@attribute inputs-61 numeric
@attribute inputs-62 numeric
@attribute inputs-63 numeric
@attribute inputs-64 numeric
@attribute inputs-65 numeric
@attribute inputs-66 numeric
@attribute inputs-67 numeric
@attribute inputs-68 numeric
@attribute inputs-69 numeric
@attribute inputs-70 numeric
@attribute inputs-71 numeric
@attribute inputs-72 numeric
@attribute inputs-73 numeric
@attribute inputs-74 numeric
@attribute inputs-75 numeric
@attribute inputs-76 numeric
@attribute inputs-77 numeric
@attribute inputs-78 numeric
@attribute inputs-79 numeric
@attribute inputs-80 numeric
@attribute inputs-81 numeric
@attribute inputs-82 numeric
@attribute inputs-83 numeric
@attribute inputs-84 numeric
@attribute inputs-85 numeric
@attribute inputs-86 numeric
@attribute inputs-87 numeric
@attribute inputs-88 numeric
@attribute inputs-89 numeric
@attribute inputs-90 numeric
@attribute inputs-91 numeric
@attribute inputs-92 numeric
@attribute inputs-93 numeric
@attribute inputs-94 numeric
@attribute inputs-95 numeric
@attribute inputs-96 numeric
@attribute inputs-97 numeric
@attribute inputs-98 numeric
@attribute inputs-99 numeric
@attribute inputs-100 numeric
@attribute outputs-1 numeric

@data
1,'2019/09/17 09:59:41:412',1,-12233663,-12236239,-11511995,-9143697,-8288384,-8222586,-8552585,-9210778,-10592694,-11645387,-13024208,-12369624,-11843530,-10922935,-10001828,-9409432,-9146776,-9277594,-9737891,-11579587,-12829405,-12502237,-11779278,-6053472,-789259,-1052430,-2237218,-5460820,-10789033,-15196914,-12764640,-12635106,-11714768,-5264984,-65538,-592136,-7830649,-14474468,-15395061,-15855101,-12764897,-12635878,-11781589,-5990506,-2569010,-3554105,-14014681,-15264241,-15789818,-15986942,-12699103,-13095912,-12243677,-10930379,-10206909,-10075579,-13688803,-14476267,-12242392,-15461627,-12698335,-13949679,-12900836,-11128786,-10930633,-11128267,-12637913,-13950694,-15001331,-15855100,-12697559,-12568546,-12175319,-10532025,-9347230,-6714478,-12764870,-14540261,-14671338,-15459830,-12168123,-12238811,-11976148,-11121602,-10069165,-9477024,-9674408,-12237765,-13815257,-14669288,-11641528,-11974098,-11446974,-7367023,-5261639,-5064003,-5196622,-5921379,-9077903,-12563395,?
2,'2019/09/17 09:59:41:449',1,-12233663,-12236239,-11511996,-9143697,-8288385,-8222587,-8487049,-9210778,-10658230,-11645386,-12958671,-12369623,-11843530,-10922935,-10001828,-9409432,-9146520,-9277594,-9737891,-11579587,-12894940,-12502236,-11779534,-6119008,-789259,-1052430,-2237474,-5395027,-10723496,-15131377,-12764640,-12634850,-11714769,-5265240,-65538,-526600,-7764855,-14474723,-15460597,-15855101,-12764897,-12635877,-11781589,-6056042,-2569010,-3488311,-14014681,-15264241,-15789818,-15986686,-12633567,-13095912,-12243677,-10930379,-10206908,-10075835,-13688803,-14476010,-12242648,-15461627,-12632798,-13949678,-12900837,-11128785,-10930633,-11128523,-12572376,-13950694,-15001330,-15854844,-12697303,-12568801,-12175320,-10597561,-9413022,-6714222,-12764869,-14605797,-14671338,-15459830,-12167867,-12304347,-11976148,-11121603,-10069165,-9477024,-9674407,-12237764,-13815257,-14669288,-11641527,-11974098,-11446975,-7367024,-5261639,-5064003,-5262414,-5921378,-9143438,-12563394,?
3,'2019/09/17 09:59:41:479',1,-12299199,-12170703,-11511996,-9143697,-8288385,-8288123,-8552586,-9210778,-10658230,-11645387,-13024207,-12369624,-11843274,-10922935,-10001828,-9409432,-9146775,-9277594,-9737891,-11579588,-12894941,-12502236,-11779278,-6119265,-789259,-1052429,-2237474,-5395026,-10723240,-15131378,-12764641,-12635106,-11649233,-5265240,-65538,-526600,-7764855,-14474467,-15460597,-15855101,-12764898,-12635877,-11781589,-6056042,-2503473,-3488311,-13949145,-15264242,-15789818,-15986686,-12699103,-13030376,-12243677,-10930379,-10206908,-10075835,-13754339,-14476011,-12242392,-15461627,-12632798,-13949678,-12900836,-11128786,-10930633,-11128268,-12572377,-13950694,-15001331,-15854844,-12697303,-12568801,-12175320,-10597562,-9413023,-6714222,-12764613,-14605797,-14671338,-15459830,-12167867,-12304347,-11976148,-11121603,-10069165,-9411232,-9674407,-12237765,-13880793,-14669288,-11641527,-11974098,-11381438,-7367024,-5261639,-5064003,-5196878,-5921379,-9143438,-12563395,?
4,'2019/09/17 09:59:41:512',1,-12299199,-12236239,-11511995,-9143697,-8353921,-8222587,-8552586,-9210777,-10592694,-11645386,-13024207,-12369623,-11909065,-10922935,-10001828,-9343896,-9146775,-9277594,-9737891,-11579587,-12894940,-12502236,-11779534,-6053472,-789259,-1052430,-2237218,-5394770,-10723239,-15196914,-12764640,-12635105,-11714769,-5264984,-1,-526600,-7764855,-14474467,-15460597,-15855100,-12764897,-12635877,-11781589,-5990506,-2503473,-3422519,-14014681,-15264241,-15789818,-15986686,-12698847,-13030376,-12243933,-10930379,-10141372,-10075835,-13754339,-14476011,-12242392,-15395835,-12698334,-13949678,-12966373,-11128785,-10930633,-11128268,-12572376,-13950694,-15001331,-15855100,-12697303,-12568801,-12175320,-10597561,-9413023,-6714221,-12764613,-14605797,-14671338,-15459830,-12167867,-12238811,-11976148,-11121602,-10069165,-9476768,-9674407,-12237764,-13815257,-14669288,-11641527,-11974098,-11447230,-7367024,-5261639,-5064003,-5196878,-5921378,-9077903,-12563394,?
5,'2019/09/17 09:59:41:546',1,-12299199,-12236239,-11511995,-9143697,-8353921,-8222587,-8552586,-9210777,-10592694,-11645386,-13024207,-12369623,-11909065,-10922935,-10001828,-9343896,-9146775,-9277594,-9737891,-11579587,-12894940,-12502236,-11779534,-6053472,-789259,-1052430,-2237218,-5394770,-10723239,-15196914,-12764640,-12635105,-11714769,-5264984,-1,-526600,-7764855,-14474467,-15460597,-15855100,-12764897,-12635877,-11781589,-5990506,-2503473,-3422519,-14014681,-15264241,-15789818,-15986686,-12698847,-13030376,-12243933,-10930379,-10141372,-10075835,-13754339,-14476011,-12242392,-15395835,-12698334,-13949678,-12966373,-11128785,-10930633,-11128268,-12572376,-13950694,-15001331,-15855100,-12697303,-12568801,-12175320,-10597561,-9413023,-6714221,-12764613,-14605797,-14671338,-15459830,-12167867,-12238811,-11976148,-11121602,-10069165,-9476768,-9674407,-12237764,-13815257,-14669288,-11641527,-11974098,-11447230,-7367024,-5261639,-5064003,-5196878,-5921378,-9077903,-12563394,?
6,'2019/09/17 09:59:41:579',1,-12233663,-12236239,-11511995,-9143697,-8288385,-8288123,-8552585,-9210778,-10658230,-11645387,-12958672,-12369624,-11843530,-10922935,-10001828,-9343896,-9146519,-9277594,-9737891,-11579587,-12894940,-12502237,-11779534,-6053472,-789259,-1052430,-2237217,-5394770,-10723239,-15131122,-12764640,-12635106,-11649233,-5264984,-65537,-592136,-7764855,-14474724,-15460597,-15855101,-12764897,-12635877,-11781589,-5990505,-2503217,-3422518,-14014681,-15264241,-15789818,-15986942,-12699103,-13030375,-12243677,-10930378,-10141372,-10075579,-13754339,-14476267,-12308184,-15330299,-12632797,-13949679,-12900837,-11194321,-10930633,-11128267,-12572120,-13950694,-15001331,-15854844,-12697303,-12568546,-12175576,-10597561,-9413024,-6714221,-12764613,-14605797,-14671338,-15459830,-12168123,-12238811,-11976148,-11121602,-10003629,-9476768,-9674407,-12237764,-13815257,-14669544,-11641527,-11974098,-11381439,-7367023,-5261639,-5064003,-5262414,-5921379,-9143438,-12628675,?
7,'2019/09/17 09:59:41:612',1,-12299199,-12170703,-11511995,-9143697,-8288385,-8222587,-8552585,-9210778,-10658231,-11645387,-12958672,-12369624,-11843530,-10922935,-10001828,-9343896,-9146519,-9277594,-9737891,-11579587,-12894941,-12436702,-11779278,-6053472,-789259,-1052430,-2237217,-5329234,-10657703,-15131121,-12830176,-12569570,-11714769,-5264983,-65538,-592136,-7699062,-14474467,-15395061,-15855101,-12764897,-12635877,-11781589,-5990249,-2503217,-3422518,-14014681,-15264241,-15789818,-15986686,-12699103,-13095656,-12243677,-10930378,-10141372,-10075579,-13754338,-14541803,-12373721,-15330298,-12632798,-13949679,-12900836,-11128786,-10930633,-11128268,-12637912,-13950694,-15001331,-15855100,-12697304,-12568802,-12175575,-10597562,-9413280,-6714221,-12764613,-14605797,-14671338,-15459830,-12168123,-12238811,-11976148,-11121602,-10069165,-9411232,-9674407,-12237765,-13880793,-14669288,-11641528,-11974099,-11381438,-7367024,-5261639,-5064003,-5196878,-5921378,-9143438,-12563394,?
8,'2019/09/17 09:59:41:645',1,-12233663,-12170703,-11511996,-9143953,-8288385,-8288122,-8552586,-9210778,-10658230,-11645387,-12958672,-12369624,-11843529,-10922935,-10001828,-9409432,-9146519,-9277594,-9737891,-11514050,-12894941,-12502237,-11779278,-6053472,-789259,-1052429,-2237217,-5328977,-10657446,-15131121,-12764641,-12634850,-11714769,-5264983,-65538,-592136,-7699062,-14408931,-15460597,-15920637,-12764897,-12635877,-11716053,-5990248,-2503216,-3356726,-14014681,-15264241,-15789818,-15986686,-12633567,-13095656,-12243677,-10930379,-10141115,-10075578,-13754339,-14541803,-12439513,-15330298,-12632798,-13949679,-12900837,-11194322,-10865097,-11128267,-12637913,-13950694,-15001331,-15855100,-12697559,-12568545,-12175320,-10597562,-9478815,-6714478,-12764613,-14605797,-14736874,-15459830,-12168124,-12238811,-11975892,-11121603,-10003629,-9411232,-9674407,-12237765,-13880794,-14669288,-11641528,-11974098,-11381439,-7367024,-5261639,-5064003,-5262158,-5921379,-9143438,-12563394,?
9,'2019/09/17 09:59:41:679',1,-12299198,-12170703,-11511996,-9209233,-8288385,-8222587,-8552585,-9210777,-10658230,-11645386,-12958671,-12369623,-11843529,-10988471,-10001828,-9409432,-9146520,-9277594,-9737891,-11513795,-12894941,-12502236,-11779278,-6053472,-789259,-1052429,-2237218,-5263441,-10591910,-15131121,-12830176,-12634850,-11714769,-5265240,-65538,-526600,-7633270,-14474467,-15460597,-15855101,-12764897,-12635877,-11781589,-5990249,-2437680,-3356725,-13949145,-15264241,-15789818,-15986686,-12698847,-13030119,-12243677,-10930379,-10075579,-10010042,-13754339,-14541803,-12439514,-15330298,-12632798,-13949679,-12900837,-11128786,-10930633,-11128267,-12572120,-13950694,-15001331,-15854843,-12697303,-12568801,-12175320,-10597818,-9478816,-6714478,-12764613,-14540261,-14671338,-15459830,-12168123,-12304347,-11976148,-11121602,-10069164,-9476768,-9674407,-12237764,-13815257,-14669288,-11641527,-11974098,-11446974,-7367024,-5261639,-5064003,-5262158,-5921123,-9077902,-12563138,?
10,'2019/09/17 09:59:41:713',1,-12233663,-12170703,-11511995,-9209489,-8288385,-8288123,-8552585,-9210777,-10658230,-11645387,-12958671,-12369624,-11909066,-10922935,-10001828,-9409432,-9146775,-9277594,-9737891,-11513795,-12894940,-12502237,-11779278,-6119008,-789259,-1052429,-2237474,-5263441,-10591910,-15131121,-12830177,-12635106,-11714769,-5265240,-65537,-526600,-7633269,-14474467,-15460597,-15855101,-12764898,-12635877,-11781589,-5990249,-2437680,-3291189,-13949145,-15264241,-15789818,-15986686,-12698848,-13030120,-12243677,-10930122,-10075579,-10075578,-13754339,-14541804,-12505306,-15330298,-12632798,-13949679,-12900836,-11128786,-10930633,-11128267,-12637912,-13885158,-15001330,-15855099,-12697303,-12568801,-12175575,-10597562,-9478816,-6714478,-12764613,-14540261,-14671338,-15459829,-12167867,-12304347,-11976147,-11121603,-10003629,-9411232,-9674407,-12237764,-13880793,-14669288,-11641527,-11974098,-11446975,-7432560,-5261639,-5064003,-5262414,-5921378,-9143438,-12563394,?
